Unnamed: 0,Z-score,equipment,type_x,b_type,fridge,washer,tv,ac,wheater,bed,closet,fourthTv,net,gas,sofa,tableAndChairs,balcony,lift,park,gender,publisher,title,kind_name,price,price_unit,section_name,street_name,location,area_y,refresh_time,yesterday_hit,surrounding
11837348,0.0,0.0,4房2廳4衛,透天厝,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,none,仲介,��R16左營高鐵奢華4房雙車庫別墅,整層住家,48000,元/月,左營區,榮德街,左營區-榮德街,75.7,3小時內,26,"{'type': 'bus_station', 'desc': '距霞海東二街口', 'distance': '221公尺'}"
11837386,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,none,屋主,有陽台洗衣機近自強夜市五甲商圈,獨立套房,5500,元/月,鳳山區,南進一街,鳳山區-南進一街,5.0,11小時內,36,"{'type': 'subway_station', 'desc': '距前鎮高中站', 'distance': '799公尺'}"
11837438,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,none,屋主,加工區旁近高科大傢俱家電全舒適套房出租,獨立套房,5500,元/月,楠梓區,益群路,楠梓區-益群路1巷,5.5,3小時內,69,"{'type': 'bus_station', 'desc': '距加昌站', 'distance': '532公尺'}"
11837448,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,仲介,近捷運站旁武廟A套房,獨立套房,5000,元/月,苓雅區,武廟路,苓雅區-武廟路,6.5,7天前,30,"{'type': 'subway_station', 'desc': '距技擊館站', 'distance': '328公尺'}"
11837451,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,none,仲介,近高醫~優質套房~生活機能佳(201),獨立套房,7500,元/月,三民區,民族一路,三民區-民族一路,10.0,7天前,25,"{'type': 'bus_station', 'desc': '距民族派出所', 'distance': '327公尺'}"
11837478,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,屋主,近捷運巨蛋瑞豐夜市套房出租生活機能佳,獨立套房,4800,元/月,鼓山區,華豐街,鼓山區-華豐街56巷,5.0,11小時內,26,"{'type': 'subway_station', 'desc': '距巨蛋站', 'distance': '754公尺'}"
11837497,0.0,0.0,2房1廳1衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,none,仲介,✨中央公園雙捷運高樓層景觀兩房✨,整層住家,19500,元/月,前金區,大同一路,前金區-大同一路282號,27.0,昨日,10,"{'type': 'subway_station', 'desc': '距捷運市議會(舊址)', 'distance': '302公尺'}"
11837510,0.0,0.0,分租套房,電梯大樓,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,female,屋主,富國路，地點極佳獨立套房（限單身女性）,分租套房,6500,元/月,左營區,富國路,左營區-富國路,5.0,2小時內,56,"{'type': 'subway_station', 'desc': '距巨蛋站', 'distance': '513公尺'}"
11837554,0.0,0.0,分租套房,公寓,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,none,屋主,高科大建工校區5樓健身公寓,分租套房,7000,元/月,三民區,正豐街,三民區-正豐街27巷,10.0,10小時內,23,"{'type': 'bus_station', 'desc': '距臺鐵科工館站', 'distance': '647公尺'}"
11837585,0.0,0.0,4房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,none,仲介,✨近科工館50樓稀有3+1房✨,整層住家,18000,元/月,三民區,民族一路,三民區-民族一路100巷,46.0,昨日,38,"{'type': 'bus_station', 'desc': '距民族派出所', 'distance': '535公尺'}"
11837613,0.0,0.0,獨立套房,電梯大樓,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,none,仲介,三多商圈採光美宅,獨立套房,15000,元/月,苓雅區,興中二路,苓雅區-興中二路,10.1,2小時內,17,"{'type': 'subway_station', 'desc': '距捷運三多商圈站', 'distance': '720公尺'}"
11837631,0.0,0.0,3房2廳2衛,電梯大樓,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,none,仲介,��農16公園首排三房摩登國城🏆權威,整層住家,23500,元/月,鼓山區,龍勝路,鼓山區-龍勝路,37.1,昨日,8,"{'type': 'subway_station', 'desc': '距凹子底站', 'distance': '834公尺'}"
11837718,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,屋主,近鳳商文山特區家具電全舒適套房出租,獨立套房,6800,元/月,鳳山區,建國路二段,鳳山區-建國路二段166號,6.0,11小時內,51,"{'type': 'bus_station', 'desc': '距臺鐵鳳山站', 'distance': '542公尺'}"
11837730,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,屋主,有獨立洗衣機近仁美國小家具家電全套房出租,獨立套房,5500,元/月,鳥松區,學堂路,鳥松區-學堂路,6.0,11小時內,27,"{'type': 'bus_station', 'desc': '距水美加油站', 'distance': '672公尺'}"
11837785,0.0,0.0,2房1廳1衛,電梯大樓,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,none,仲介,��O7捷運文化中心仰德漾全新2房🏆權,整層住家,23000,元/月,苓雅區,中正二路,苓雅區-中正二路,25.7,昨日,11,"{'type': 'subway_station', 'desc': '距文化中心站', 'distance': '94公尺'}"
11837801,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,代理人,挑高.寬敞，大片窗臨新崛江上班族最愛居所,獨立套房,5600,元/月,新興區,忠孝一路,新興區-忠孝一路7巷,8.0,9小時內,34,"{'type': 'subway_station', 'desc': '距中央公園站', 'distance': '661公尺'}"
11837813,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,none,屋主,正修乾濕分離大豐大昌仁武上班族首選套房,獨立套房,5500,元/月,鳥松區,球場路,鳥松區-球場路32號,7.0,9小時內,21,"{'type': 'restaurant', 'desc': '距無名老麵攤', 'distance': '24公尺'}"
11837829,0.0,0.0,獨立套房,電梯大樓,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,none,代理人,快搶：每月住三晚就回本的頂級～商務大套房,獨立套房,8700,元/月,新興區,五福三路,新興區-五福三路,12.0,9小時內,25,"{'type': 'subway_station', 'desc': '距中央公園站', 'distance': '556公尺'}"
11837833,0.0,0.0,獨立套房,透天厝,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,female,屋主,"[包水電]超便宜,近火車站、女生套房",獨立套房,3500,元/月,新興區,林森一路,新興區-林森一路146巷3號,5.0,51分鐘內,47,"{'type': 'subway_station', 'desc': '距美麗島站', 'distance': '376公尺'}"
